Etiquetas de fila,Cuenta de principal_station
Expo / Sepulveda Station,10
Expo / Bundy Station,10
7th Street / Metro Center Station,9
Downtown Santa Monica Station,7
Willowbrook,7
Union Station,6
Duarte / City of Hope Station,6
South Pasadena Station,6
Redondo Beach Station,6
Palms Station,6
Southwest Museum Station,5
Chinatown Station,5
26th Street / Bergamot Station,5
Vermont / Santa Monica Station,5
Aviation / Imperial Station,5
El Segundo Station,5
Universal / Studio City Station,5
Pershing Square Station,5
Expo / Vermont Station,5
Total general,118
