Station,Trip_Percentage
Downtown Long Beach Station,0.19157976957625464
APU / Citrus College Station,0.18493263034563562
Union Station,0.11602421402069908
Atlantic Station,0.1006912712360867
Downtown Santa Monica Station,0.10048818590119117
North Hollywood Station,0.07720367115797695
Aviation / Century Station,0.06454208162468268
Norwalk Station,0.045006834602616674
Wilshire / Western Station,0.04057020113259129
Expo / Crenshaw Station,0.02804920913884007
Westchester / Veterans Station,0.02804920913884007
Redondo Beach Station,0.020035149384885764
Wilshire / Vermont Station,0.0016403046280023433
Monrovia Station,0.0011872681116969343
Total general,1
