Year,Antelope Valley (SPA 1),San Fernando Valley (SPA 2),San Gabriel Valley (SPA 3),Metro LA (SPA 4),West LA (SPA 5),South LA (SPA 6),East LA County (SPA 7),South Bay/ Harbor (SPA 8)
2024,6672,10701,4843,18389,5383,13886,5899,5428
2023,4686,10443,5009,18531,6669,12995,6511,7775
2022,4598,9604,4661,17820,4604,14598,4781,4445
2020,4755,9277,5082,17121,6009,13012,4586,6594
2019,3293,7730,4489,16436,5262,9543,5095,4409
2018,3203,7738,4282,14218,4401,8343,4569,6011
2017,4559,7459,3552,15393,5511,9243,5189,4282
2015,2818,5216,3093,11681,4276,7513,3571,3006
2013,2113,4836,2794,10472,3667,7045,2429,2168
2011,1412,3720,2499,10086,3512,7541,3208,2644
2009,1609,3312,2780,10339,3738,5504,2993,2401
2007,1238,4464,6648,16109,4580,7786,3806,3806
2005,2404,8051,7145,14041,4773,11919,4982,5918
